,Search,Year,GeographicLocation_Cleaned,DemersPelag,Form_Clean,Species_from_search,Family,Order,DepthRangeDeep,BodyShapeI,LMax,EnvTemp,trophic_level,K,tm,nutrient,nutvalue,Habitat
287,Expert,2013.0,Bangladesh,pelagic_neritic,unknown,Coilia_dussumieri,Engraulidae,Clupeiformes,50.0,elongate,20.0,tropical,3.299999952,1.1,0.7,Calcium,449.0,Marine
288,Expert,2013.0,Bangladesh,pelagic_neritic,whole,Setipinna_taty,Engraulidae,Clupeiformes,50.0,fusiform,22.1,tropical,3.2,0.33,2.3,Calcium,327.0,Marine
289,Expert,2013.0,Bangladesh,demersal,whole_parts,Protonibea_diacanthus,Sciaenidae,Perciformes,100.0,fusiform,150.0,tropical,3.5,0.31,2.0,Calcium,32.0,Marine
290,Expert,2013.0,Bangladesh,pelagic_neritic,whole,Corica_soborna,Clupeidae,Clupeiformes,20.0,fusiform,4.1,tropical,3.1,2.77,0.4,Calcium,489.0,Marine
291,Expert,2013.0,Bangladesh,demersal,whole_parts,Lates_calcarifer,Latidae,Perciformes,40.0,fusiform,200.0,tropical,3.8,0.125,4.485883,Calcium,24.0,Marine
292,Expert,2013.0,Bangladesh,benthopelagic,whole_parts,Glossogobius_giuris,Gobiidae,Perciformes,5.0,fusiform,50.0,tropical,3.66,0.69,1.1,Calcium,397.0,Marine
293,Expert,2013.0,Bangladesh,pelagic_neritic,whole_parts,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,86.0,Marine
294,Expert,2013.0,Bangladesh,demersal,unknown,Leptomelanosoma_indicum,Polynemidae,Perciformes,100.0,elongate,142.0,tropical,3.86,0.19,3.1,Calcium,53.0,Marine
295,Expert,2013.0,Bangladesh,pelagic_neritic,unknown,Scomberomorus_guttatus,Scombridae,Perciformes,200.0,fusiform,76.0,tropical,4.3,0.340000004,1.9,Calcium,35.0,Marine
296,Expert,2013.0,Bangladesh,pelagic_neritic,unknown,Scomberomorus_commerson,Scombridae,Perciformes,70.0,fusiform,240.0,tropical,4.5,0.595000029,1.010677,Calcium,92.0,Marine
297,Expert,2013.0,Bangladesh,demersal,unknown,Chelon_parsia,Mugilidae,Mugiliformes,10.0,fusiform,43.51578953,tropical,2.609090909,0.287800001,3.02470375,Calcium,1050.0,Marine
298,Expert,2013.0,Bangladesh,reef_associated,whole_parts,Parastromateus_niger,Carangidae,Perciformes,105.0,short_deep,75.0,tropical,2.9,0.319999993,2.237673,Calcium,286.0,Marine
299,Expert,2013.0,Bangladesh,benthopelagic,whole_parts,Pampus_chinensis,Stromateidae,Perciformes,110.0,short_deep,40.0,tropical,3.6,0.66,1.0,Calcium,200.0,Marine
300,Expert,2013.0,Bangladesh,benthopelagic,unknown,Pampus_argenteus,Stromateidae,Perciformes,110.0,short_deep,60.0,subtropical,3.3,0.449999988,1.631748,Calcium,13.0,Marine
301,Expert,2013.0,Bangladesh,pelagic_neritic,unknown,Xenentodon_cancila,Belonidae,Beloniformes,2.0,elongate,40.0,tropical,3.86,0.43,1.6,Calcium,210.0,Marine
302,Expert,2013.0,Bangladesh,pelagic_neritic,whole_parts,Euthynnus_affinis,Scombridae,Perciformes,200.0,fusiform,100.0,tropical,4.5,0.444000006,1.43524,Calcium,16.0,Marine
442,FAO,2009.0,Iran,pelagic_neritic,muscle,Liza_aurata,Mugilidae,Mugiliformes,10.0,fusiform,59.0,temperate,2.8,0.330000013,2.103572,Calcium,6.9048,Marine
443,FAO,2009.0,Iran,pelagic_neritic,muscle,Clupeonella_cultriventris,Clupeidae,Clupeiformes,13.0,fusiform,14.5,temperate,3.15,0.236000001,3.272749,Calcium,24.1776,Marine
468,FAO,2009.0,Spain,benthopelagic,muscle,Pagellus_bogaraveo,Sparidae,Perciformes,700.0,fusiform,130.0,temperate,4.2,0.162,4.171139,Calcium,64.0,Marine
469,FAO,2009.0,Spain,benthopelagic,muscle,Pagellus_bogaraveo,Sparidae,Perciformes,700.0,fusiform,130.0,temperate,4.2,0.162,4.171139,Calcium,39.0,Marine
470,FAO,2009.0,Spain,benthopelagic,muscle,Pagellus_bogaraveo,Sparidae,Perciformes,700.0,fusiform,130.0,temperate,4.2,0.162,4.171139,Calcium,69.0,Marine
573,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,12.1587,Marine
574,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,63.7671,Marine
575,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,21.2872,Marine
576,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,50.5325,Marine
577,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,21.1744,Marine
578,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,59.3895,Marine
579,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,20.384,Marine
580,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,71.0767,Marine
581,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,79.2,Marine
582,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,83.4933,Marine
583,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,70.0456,Marine
584,FAO,2010.0,Unknown,pelagic_neritic,muscle,Sarda_sarda,Scombridae,Perciformes,200.0,fusiform,91.40000153,subtropical,4.5,0.718999982,0.9204233,Calcium,21.2821,Marine
585,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,105.607,Marine
586,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,145.2043,Marine
587,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,637.1429,Marine
588,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,156.4954,Marine
589,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,302.673,Marine
590,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,243.8099,Marine
591,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,297.8002,Marine
592,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,198.8289,Marine
593,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,412.8166,Marine
594,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,127.2284,Marine
595,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,400.8669,Marine
596,FAO,2010.0,Unknown,pelagic_neritic,muscle,Trachurus_trachurus,Carangidae,Perciformes,1050.0,fusiform,70.0,subtropical,3.7,0.143999994,4.858615,Calcium,235.9584,Marine
636,FAO,1984.0,USA,demersal,muscle,Gadus_macrocephalus,Gadidae,Gadiformes,693.3333333,fusiform,132.0,temperate,4.033333333,0.198000005,3.417973667,Calcium,10.8,Marine
637,FAO,1984.0,USA,demersal,muscle,Gadus_macrocephalus,Gadidae,Gadiformes,693.3333333,fusiform,132.0,temperate,4.033333333,0.198000005,3.417973667,Calcium,11.3,Marine
638,FAO,1984.0,USA,demersal,muscle,Gadus_macrocephalus,Gadidae,Gadiformes,693.3333333,fusiform,132.0,temperate,4.033333333,0.198000005,3.417973667,Calcium,13.3,Marine
639,FAO,1984.0,USA,demersal,muscle,Microstomus_pacificus,Pleuronectidae,Pleuronectiformes,1370.0,flat,76.0,temperate,3.2,0.085000001,7.395428,Calcium,11.5,Marine
640,FAO,1984.0,USA,demersal,muscle,Microstomus_pacificus,Pleuronectidae,Pleuronectiformes,1370.0,flat,76.0,temperate,3.2,0.085000001,7.395428,Calcium,11.9,Marine
641,FAO,1984.0,USA,demersal,muscle,Microstomus_pacificus,Pleuronectidae,Pleuronectiformes,1370.0,flat,76.0,temperate,3.2,0.085000001,7.395428,Calcium,20.2,Marine
642,FAO,1984.0,USA,benthopelagic,muscle,Theragra_chalcogramma,Gadidae,Gadiformes,1280.0,fusiform,91.0,polar_deep,3.6,0.270999998,2.425964,Calcium,13.0,Marine
643,FAO,1984.0,USA,benthopelagic,muscle,Theragra_chalcogramma,Gadidae,Gadiformes,1280.0,fusiform,91.0,polar_deep,3.6,0.270999998,2.425964,Calcium,9.9,Marine
644,FAO,1984.0,USA,benthopelagic,muscle,Theragra_chalcogramma,Gadidae,Gadiformes,1280.0,fusiform,91.0,polar_deep,3.6,0.270999998,2.425964,Calcium,14.2,Marine
645,FAO,1984.0,USA,pelagic,muscle,Merluccius_productus,Merlucciidae,Gadiformes,1000.0,elongate,91.0,temperate,4.4,0.129999995,4.831787,Calcium,9.2,Marine
646,FAO,1984.0,USA,pelagic,muscle,Merluccius_productus,Merlucciidae,Gadiformes,1000.0,elongate,91.0,temperate,4.4,0.129999995,4.831787,Calcium,10.4,Marine
647,FAO,1984.0,USA,pelagic,muscle,Brama_japonica,Bramidae,Perciformes,620.0,short_deep,61.0,subtropical,4.4,0.185000002,3.351622,Calcium,8.8,Marine
648,FAO,1984.0,USA,demersal,muscle,Pleurogrammus_monopterygius,Hexagrammidae,Scorpaeniformes,575.0,fusiform,56.5,temperate,3.4,0.460999995,1.515498,Calcium,14.1,Marine
649,FAO,1984.0,USA,pelagic_neritic,muscle,Alosa_sapidissima,Clupeidae,Clupeiformes,250.0,fusiform,76.0,temperate,3.5,0.200000003,3.211653,Calcium,14.4,Marine
699,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,59.05,Marine
700,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,57.78,Marine
701,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,50.29,Marine
702,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,55.14,Marine
703,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,49.82,Marine
704,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,47.01,Marine
705,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,56.61,Marine
706,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,68.75,Marine
707,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,61.21,Marine
708,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,63.36,Marine
709,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,62.31,Marine
710,FAO,2009.0,Bangladesh,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,63.82,Marine
743,FAO,2011.0,Iceland,benthopelagic,muscle,Gadus_morhua,Gadidae,Gadiformes,600.0,fusiform,200.0,temperate,4.1,0.164000005,3.842584,Calcium,8.7,Marine
744,FAO,2011.0,Iceland,demersal,muscle,Pleuronectes_platessa,Pleuronectidae,Pleuronectiformes,200.0,flat,100.0,temperate,3.2,0.061999999,10.53358,Calcium,28.0,Marine
745,FAO,2011.0,Iceland,benthopelagic,muscle,Reinhardtius_hippoglossoides,Pleuronectidae,Pleuronectiformes,2000.0,flat,50.0,polar_deep,4.4,0.07,8.58332,Calcium,5.9,Marine
746,FAO,2011.0,Iceland,demersal,muscle,Melanogrammus_aeglefinus,Gadidae,Gadiformes,450.0,fusiform,112.0,temperate,4.0,0.289999992,2.292652,Calcium,7.8,Marine
747,FAO,2011.0,Iceland,benthopelagic,muscle,Cyclopterus_lumpus,Cyclopteridae,Scorpaeniformes,868.0,short_deep,61.0,polar_deep,3.9,0.254999995,2.704648,Calcium,7.9,Marine
748,FAO,2011.0,Iceland,demersal,muscle,Pollachius_virens,Gadidae,Gadiformes,364.0,fusiform,130.0,temperate,4.3,0.195999995,3.068445,Calcium,10.0,Marine
749,FAO,2011.0,Iceland,pelagic,muscle,Sebastes_mentella,Sebastidae,Scorpaeniformes,1441.0,fusiform,58.0,polar_deep,4.1,0.150999993,4.748702,Calcium,12.0,Marine
750,FAO,2011.0,Iceland,pelagic,muscle,Sebastes_norvegicus,Sebastidae,Scorpaeniformes,1000.0,fusiform,100.0,temperate,4.0,0.109999999,6.098522,Calcium,13.0,Marine
751,FAO,2011.0,Iceland,demersal,muscle,Anarhichas_lupus,Anarhichadidae,Perciformes,600.0,elongate,150.0,temperate,3.6,0.120999999,5.109749,Calcium,6.8,Marine
775,FAO,1991.0,Ghana,pelagic_neritic,muscle,Sardinella,Clupeidae,Clupeiformes,81.11111111,fusiform,17.03809525,tropical,2.877777778,0.854523815,1.087036129,Calcium,398.52,Marine
779,FAO,1996.0,Canada,demersal,muscle,Salvelinus_fontinalis,Salmonidae,Salmoniformes,27.0,fusiform,86.0,temperate,3.31,0.29,2.2,Calcium,12.7,Marine
780,FAO,1996.0,Canada,demersal,muscle,Salvelinus_fontinalis,Salmonidae,Salmoniformes,27.0,fusiform,86.0,temperate,3.31,0.29,2.2,Calcium,3.1,Marine
783,FAO,2009.0,Poland,benthopelagic,muscle,Coregonus_albula,Salmonidae,Salmoniformes,110.8823529,fusiform,48.0,temperate,3.1,0.531000018,1.40532,Calcium,12.63352,Marine
784,FAO,2009.0,Poland,benthopelagic,muscle,Coregonus_albula,Salmonidae,Salmoniformes,110.8823529,fusiform,48.0,temperate,3.1,0.531000018,1.40532,Calcium,14.00058,Marine
801,FAO,2012.0,Norway,pelagic_neritic,muscle,Scomber_scombrus,Scombridae,Perciformes,1000.0,fusiform,60.0,temperate,3.6,0.261999995,2.636997,Calcium,15.0,Marine
802,FAO,2012.0,Norway,benthopelagic,muscle,Reinhardtius_hippoglossoides,Pleuronectidae,Pleuronectiformes,2000.0,flat,50.0,polar_deep,4.4,0.07,8.58332,Calcium,5.5,Marine
803,FAO,2012.0,Norway,demersal,muscle,Hippoglossus_hippoglossus,Pleuronectidae,Pleuronectiformes,2000.0,flat,470.0,temperate,4.0,0.029999999,17.733,Calcium,4.3,Marine
804,FAO,2002.0,Canada,benthopelagic,muscle,Salvelinus_alpinus_alpinus,Salmonidae,Salmoniformes,70.0,fusiform,107.0,temperate,4.39,0.06,10.8,Calcium,11.0,Marine
805,FAO,1992.0,Canada,benthopelagic,muscle,Salvelinus_alpinus_alpinus,Salmonidae,Salmoniformes,70.0,fusiform,107.0,temperate,4.39,0.06,10.8,Calcium,7.0,Marine
806,FAO,1992.0,Canada,benthopelagic,muscle,Salvelinus_alpinus_alpinus,Salmonidae,Salmoniformes,70.0,fusiform,107.0,temperate,4.39,0.06,10.8,Calcium,14.0,Marine
807,FAO,1992.0,Canada,demersal,whole,Myoxocephalus_scorpius,Cottidae,Scorpaeniformes,451.0,fusiform,60.0,polar_deep,3.89,0.34,2.0,Calcium,429.0,Marine
808,FAO,1994.0,Canada,pelagic_neritic,muscle,Coregonus_autumnalis,Salmonidae,Salmoniformes,110.8823529,fusiform,65.0,polar_deep,3.7,0.219999999,3.082266,Calcium,30.0,Marine
809,FAO,1994.0,Canada,demersal,muscle,Stenodus_leucichthys,Salmonidae,Salmoniformes,147.2121212,fusiform,150.0,polar_deep,4.2,0.101000004,5.929621,Calcium,10.0,Marine
816,FAO,2007.0,France,demersal,muscle,Dicentrarchus_labrax,Moronidae,Perciformes,100.0,fusiform,103.0,subtropical,3.5,0.219999999,2.957005,Calcium,1.6,Marine
817,Expert,2016.0,India,reef_associated,muscle,Epinephelus,Serranidae,Perciformes,158.1410256,fusiform,83.39770115,tropical,3.943396226,0.23748276,3.834993422,Calcium,162.1,Marine
818,Expert,2016.0,India,pelagic_neritic,muscle,Euthynnus_affinis,Scombridae,Perciformes,200.0,fusiform,100.0,tropical,4.5,0.444000006,1.43524,Calcium,0.0,Marine
819,Expert,2016.0,India,pelagic,muscle,Katsuwonus_pelamis,Scombridae,Perciformes,260.0,fusiform,110.0,tropical,4.4,0.389999986,1.59151,Calcium,206.3,Marine
820,Expert,2016.0,India,demersal,muscle,Eubleekeria_splendens,Leiognathidae,Perciformes,100.0,short_deep,17.0,tropical,2.9,1.029999971,0.7939364,Calcium,330.8,Marine
821,Expert,2016.0,India,demersal,muscle,Nemipterus_japonicus,Nemipteridae,Perciformes,80.0,fusiform,32.0,tropical,3.8,0.50999999,1.418672,Calcium,0.0,Marine
822,Expert,2016.0,India,pelagic_neritic,muscle,Rastrelliger_kanagurta,Scombridae,Perciformes,90.0,fusiform,38.0,tropical,3.2,1.5,0.5008605,Calcium,0.0,Marine
823,Expert,2016.0,India,pelagic_neritic,muscle,Sardinella_longiceps,Clupeidae,Clupeiformes,200.0,fusiform,23.0,tropical,2.4,0.400000006,1.847685,Calcium,523.9,Marine
824,Expert,2016.0,India,pelagic_neritic,muscle,Stolephorus_commersonnii,Engraulidae,Clupeiformes,50.0,fusiform,10.0,tropical,3.05,0.96,0.9,Calcium,0.0,Marine
825,Expert,2016.0,India,pelagic_neritic,muscle,Stolephorus_waitei,Engraulidae,Clupeiformes,50.0,elongate,151.62,tropical,3.3,0.163000003,5.256953,Calcium,0.0,Marine
826,Expert,2016.0,India,pelagic,muscle,Thunnus_albacares,Scombridae,Perciformes,250.0,fusiform,239.0,tropical,4.4,0.314999998,1.830759,Calcium,0.0,Marine
827,Expert,2016.0,India,benthopelagic,muscle,Trichiurus_lepturus,Trichiuridae,Perciformes,589.0,elongate,234.0,subtropical,4.4,0.289000005,2.06241,Calcium,159.7,Marine
828,Expert,2016.0,India,demersal,muscle,Lates_calcarifer,Latidae,Perciformes,40.0,fusiform,200.0,tropical,3.8,0.125,4.485883,Calcium,241.9,Marine
829,Expert,2016.0,India,benthopelagic,muscle,Mugil_cephalus,Mugilidae,Mugiliformes,120.0,fusiform,100.0,subtropical,2.5,0.230000004,2.869968,Calcium,263.9,Marine
830,Expert,2016.0,India,benthopelagic,muscle,Oncorhynchus_mykiss,Salmonidae,Salmoniformes,200.0,fusiform,122.0,subtropical,4.1,0.698000014,0.9337703,Calcium,418.6,Marine
834,WOS,1994.0,Canada,pelagic_neritic,whole,Thaleichthys_pacificus,Osmeridae,Osmeriformes,300.0,elongate,34.0,temperate,3.25,0.34,2.3,Calcium,273.0,Marine
850,Expert,,India,reef_associated,muscle,Epinephelus,Serranidae,Perciformes,158.1410256,fusiform,83.39770115,tropical,3.943396226,0.23748276,3.834993422,Calcium,162.1,Marine
852,Expert,,India,pelagic,muscle,Katsuwonus_pelamis,Scombridae,Perciformes,260.0,fusiform,110.0,tropical,4.4,0.389999986,1.59151,Calcium,206.3,Marine
853,Expert,,India,demersal,muscle,Eubleekeria_splendens,Leiognathidae,Perciformes,100.0,short_deep,17.0,tropical,2.9,1.029999971,0.7939364,Calcium,330.8,Marine
854,Expert,,India,benthopelagic,muscle,Mugil_cephalus,Mugilidae,Mugiliformes,120.0,fusiform,100.0,subtropical,2.5,0.230000004,2.869968,Calcium,263.9,Marine
855,Expert,,India,demersal,muscle,Nemipterus_japonicus,Nemipteridae,Perciformes,80.0,fusiform,32.0,tropical,3.8,0.50999999,1.418672,Calcium,0.0,Marine
856,Expert,,India,benthopelagic,muscle,Oncorhynchus_mykiss,Salmonidae,Salmoniformes,200.0,fusiform,122.0,subtropical,4.1,0.698000014,0.9337703,Calcium,418.6,Marine
857,Expert,,India,pelagic_neritic,muscle,Rastrelliger_kanagurta,Scombridae,Perciformes,90.0,fusiform,38.0,tropical,3.2,1.5,0.5008605,Calcium,0.0,Marine
858,Expert,,India,pelagic_neritic,muscle,Sardinella_longiceps,Clupeidae,Clupeiformes,200.0,fusiform,23.0,tropical,2.4,0.400000006,1.847685,Calcium,523.9,Marine
859,Expert,,India,pelagic_neritic,muscle,Stolephorus_commersonnii,Engraulidae,Clupeiformes,50.0,fusiform,10.0,tropical,3.05,0.96,0.9,Calcium,0.0,Marine
860,Expert,,India,pelagic_neritic,muscle,Stolephorus_waitei,Engraulidae,Clupeiformes,50.0,elongate,151.62,tropical,3.3,0.163000003,5.256953,Calcium,0.0,Marine
861,Expert,,India,pelagic,muscle,Thunnus_albacares,Scombridae,Perciformes,250.0,fusiform,239.0,tropical,4.4,0.314999998,1.830759,Calcium,0.0,Marine
862,Expert,,India,benthopelagic,muscle,Trichiurus_lepturus,Trichiuridae,Perciformes,589.0,elongate,234.0,subtropical,4.4,0.289000005,2.06241,Calcium,159.7,Marine
863,Expert,,India,demersal,muscle,Lates_calcarifer,Latidae,Perciformes,40.0,fusiform,200.0,tropical,3.8,0.125,4.485883,Calcium,241.9,Marine
864,Expert,,India,pelagic_neritic,muscle,Tenualosa_ilisha,Clupeidae,Clupeiformes,200.0,fusiform,60.0,tropical,2.9,0.49000001,1.384019,Calcium,119.0,Marine
865,Expert,,India,pelagic_neritic,muscle,Xenentodon_cancila,Belonidae,Beloniformes,2.0,elongate,40.0,tropical,3.86,0.43,1.6,Calcium,5310.0,Marine
